,PLS1,PLS2,PLS3,PLS4,PLS5,-log_activity
PLS1,1.0,-5.20990044538236e-16,-1.596416969373022e-15,-5.936362920343693e-16,4.720533735006867e-16,-0.547751550929403
PLS2,-5.20990044538236e-16,1.0,-1.4344308450280639e-15,-9.877511189667577e-17,7.049142685293126e-16,0.5199064406277626
PLS3,-1.596416969373022e-15,-1.4344308450280639e-15,1.0,-4.180644011227406e-16,-6.450340457975487e-16,0.30542761335806584
PLS4,-5.936362920343693e-16,-9.877511189667577e-17,-4.180644011227406e-16,1.0,4.172880263420672e-16,0.2789212997428547
PLS5,4.720533735006867e-16,7.049142685293126e-16,-6.450340457975487e-16,4.172880263420672e-16,1.0,-0.23071486794972745
-log_activity,-0.547751550929403,0.5199064406277626,0.30542761335806584,0.2789212997428547,-0.23071486794972745,1.0
