Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL4085842,,0.952,1.0,1.0,IC50,'=',1.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)ncn2)c(OC)cc1N(C)CCN(C)C
CHEMBL4741340,,1.0,1.0,1.0,IC50,'=',1.7,nM,CHEMBL4732150,[2H]C([2H])=CC(=O)Nc1cc(Nc2nccc(-c3cn(C([2H])([2H])[2H])c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4098967,,0.91,0.673,0.592,IC50,'=',1.9,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CCC(CN(C)C)C1
CHEMBL4744138,,1.0,0.907,0.949,IC50,'=',2.09,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C(C)=O)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4645434,,0.764,0.717,0.775,IC50,'=',2.2,nM,CHEMBL4622942,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(CCCO)c4ccccc34)n2)c(OC)cc1F
CHEMBL4104658,,0.968,0.826,0.9,IC50,'=',2.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4096021,,0.922,0.826,0.9,IC50,'=',2.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2cc(-c3cn4c5c(cccc35)CCC4)ncn2)c(OC)cc1N(C)CCN(C)C
CHEMBL4097141,,0.909,0.68,0.617,IC50,'=',4.9,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CC(N(C)C)C1
CHEMBL4441606,,0.836,1.0,1.0,IC50,'=',6.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C
CHEMBL4087538,,0.954,0.93,0.974,IC50,'=',6.0,nM,CHEMBL4043110,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4079658,,0.886,0.864,0.974,IC50,'=',6.4,nM,CHEMBL4043110,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CC[N+](C)(C)[O-]
CHEMBL4099377,,0.909,0.884,0.974,IC50,'=',9.9,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2ncnc(-c3cn(C)c4ccccc34)c2F)c(OC)cc1N(C)CCN(C)C
CHEMBL4066170,,0.849,0.826,0.949,IC50,'=',10.2,nM,CHEMBL4043110,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CC[N+](C)(C)[O-]
CHEMBL4080008,,0.91,0.714,0.604,IC50,'=',11.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CC(CN(C)C)C1
CHEMBL4080934,,0.925,0.75,0.592,IC50,'=',11.8,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CC(CCN(C)C)C1
CHEMBL4747078,,0.939,0.755,0.818,IC50,'=',12.08,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2ncc(C(F)(F)F)c(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4570333,,0.909,0.86,0.973,IC50,'=',14.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1SCCN(C)C
CHEMBL3633141,,0.952,1.0,1.0,IC50,'=',15.0,nM,CHEMBL3632511,C=CC(=O)Nc1cc(Nc2cncc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4072620,,0.849,0.804,0.949,IC50,'=',17.8,nM,CHEMBL4043110,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4c(F)cccc34)n2)c(OC)cc1N(C)CC[N+](C)(C)[O-]
CHEMBL4077973,,0.923,0.787,0.857,IC50,'=',22.0,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2cc(-c3cn4c5c(cccc35)CCC4)nc(OC)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3353406,,0.984,0.848,0.949,IC50,'=',25.0,nM,CHEMBL4411272,C=CC(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4087243,,0.868,0.745,0.85,IC50,'=',34.8,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCO
CHEMBL4552429,,0.925,0.844,0.902,IC50,'=',35.0,nM,CHEMBL4312015,C=CC(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C
CHEMBL4454929,,0.74,0.822,0.667,IC50,'=',46.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCS(=O)(=O)CC1
CHEMBL4206501,,0.952,1.0,1.0,IC50,'=',56.0,nM,CHEMBL4177539,C=CC(=O)Nc1cc(Nc2ccnc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4066569,,0.952,0.929,0.974,IC50,'=',60.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(C)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4099445,,0.908,0.75,0.617,IC50,'=',64.3,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL4460261,,0.77,0.907,0.682,IC50,'=',65.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CC[S+]([O-])CC1
CHEMBL4463766,,0.851,0.86,0.698,IC50,'=',79.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCSCC1
CHEMBL4557005,,1.0,0.929,0.974,IC50,'=',93.0,nM,CHEMBL4411272,C=CC(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4464879,,0.91,0.905,0.946,IC50,'=',101.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCO
CHEMBL4447982,,0.871,1.0,1.0,IC50,'=',105.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CC[S+](C)[O-]
CHEMBL4592472,,0.803,0.822,0.923,IC50,'=',108.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1S(=O)(=O)CCN(C)C
CHEMBL4454745,,0.953,0.905,0.946,IC50,'=',122.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCCl
CHEMBL4082763,,0.953,0.929,0.949,IC50,'=',123.4,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2cc(-c3cn(C)c4ccccc34)nc(OC)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4094086,,1.0,0.929,0.949,IC50,'=',154.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nc(OC)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4067014,,0.984,1.0,1.0,IC50,'=',185.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(C)c4ccccc43)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4086559,,0.952,0.884,0.949,IC50,'=',212.5,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2ncnc(-c3cn(C)c4ccccc34)c2OC)c(OC)cc1N(C)CCN(C)C
CHEMBL4566583,,0.968,0.884,0.973,IC50,'=',215.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCSC
CHEMBL4092788,,0.953,0.714,0.878,IC50,'=',278.2,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CC(=O)N(C)C
CHEMBL4069277,,0.938,0.771,0.857,IC50,'=',385.5,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C(C)=O
CHEMBL4551557,,0.954,0.907,0.949,IC50,'=',591.0,nM,CHEMBL4411272,C=CC(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3353409,,1.0,0.907,0.974,IC50,'=',1000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4081429,,0.824,0.667,0.617,IC50,'=',1230.0,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CCNC(=O)C1
CHEMBL3353407,,0.954,0.907,0.974,IC50,'=',2000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4545086,,1.0,1.0,1.0,IC50,'=',2100.0,nM,CHEMBL4382217,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cccnc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4536146,,0.953,0.884,0.973,IC50,'=',6600.0,nM,CHEMBL4382217,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cccnc34)n2)c(OC)cc1N(C)CCNC
CHEMBL4575647,,0.954,0.86,0.973,IC50,'=',15000.0,nM,CHEMBL4382217,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cccnc34)n2)c(OC)cc1NCCN(C)C
CHEMBL3353412,,0.953,0.884,0.973,IC50,'=',45000.0,nM,CHEMBL3351341,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCNC
CHEMBL4290812, ,1.0,1.0,1.0,IC50,'=',0.3,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL4282688, ,0.9285714285714286,0.5760869565217391,1.0,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2ncc(OC)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4279057, ,0.9420289855072463,0.7976190476190477,1.0,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)C1
CHEMBL4293126, ,0.9154929577464789,0.6222222222222222,1.0,IC50,'=',0.8,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OCC)cc1N(C)CCN(C)C
CHEMBL4277911, ,0.9295774647887324,0.6818181818181818,1.0,IC50,'=',0.8,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(CC)CCN(C)C
CHEMBL4287141, ,0.8904109589041096,0.5913978494623656,1.0,IC50,'=',1.0,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(F)ccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4290568, ,0.9420289855072463,0.5578947368421052,1.0,IC50,'=',1.0,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2ncc(C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4288246, ,0.9305555555555556,0.6813186813186813,1.0,IC50,'=',1.2,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN1CCOCC1
CHEMBL4286318, ,0.9420289855072463,0.7058823529411765,1.0,IC50,'=',1.4,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4289490, ,0.8904109589041096,0.5913978494623656,1.0,IC50,'=',2.6,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4cc(Cl)ccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4557772, ,0.8904109589041096,0.5376344086021505,0.9736842105263158,IC50,'=',6.0,nM,CHEMBL4411272,C=C(F)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4464589, ,0.8648648648648649,0.4563106796116505,0.9736842105263158,IC50,'=',7.5,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4548960, ,0.9142857142857143,0.45098039215686275,0.9736842105263158,IC50,'=',8.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4439632, ,0.8904109589041096,0.45454545454545453,0.9736842105263158,IC50,'=',10.0,nM,CHEMBL4411272,C=C(Cl)C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4445797, ,0.9014084507042254,0.4339622641509434,0.9736842105263158,IC50,'=',16.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4444312, ,0.7586206896551724,0.39473684210526316,0.9736842105263158,IC50,'=',16.0,nM,CHEMBL4312015,CCC/C=C\C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C
CHEMBL4460320, ,0.9142857142857143,0.46,0.9736842105263158,IC50,'=',18.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4463634, ,0.8783783783783784,0.42857142857142855,0.9736842105263158,IC50,'=',20.0,nM,CHEMBL4411272,C=C(Cl)C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4471845, ,0.8933333333333333,0.3944954128440367,0.9736842105263158,IC50,'=',31.0,nM,CHEMBL4312015,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C
CHEMBL4441933, ,0.8904109589041096,0.5543478260869565,0.9736842105263158,IC50,'=',33.0,nM,CHEMBL4411272,C=C(Cl)C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4553685, ,0.9014084507042254,0.42592592592592593,0.9736842105263158,IC50,'=',37.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4434924, ,0.927536231884058,0.46,0.9736842105263158,IC50,'=',38.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccccc23)n1
CHEMBL4451986, ,0.927536231884058,0.5714285714285714,0.9736842105263158,IC50,'=',52.0,nM,CHEMBL4411272,C/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5175316, ,0.9,0.5208333333333334,0.9473684210526315,IC50,'=',87.0,nM,CHEMBL5137051,COc1ccc(C(=O)Nc2cc(Nc3nccc(-c4cn(C)c5ccccc45)n3)c(OC)cc2N(C)CCN(C)C)nc1
CHEMBL5191292, ,0.8873239436619719,0.5368421052631579,0.9473684210526315,IC50,'=',100.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2OC)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL5196254, ,0.9,0.5434782608695652,0.9473684210526315,IC50,'=',110.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4468034, ,0.9142857142857143,0.5591397849462365,0.9736842105263158,IC50,'=',177.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4470120, ,0.8533333333333334,0.35344827586206895,0.9736842105263158,IC50,'=',201.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4583858, ,0.9142857142857143,0.5473684210526316,0.9736842105263158,IC50,'=',203.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4527702, ,0.9014084507042254,0.5714285714285714,0.9736842105263158,IC50,'=',209.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4452628, ,0.9142857142857143,0.4339622641509434,0.9736842105263158,IC50,'=',219.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccccc23)n1
CHEMBL4535047, ,0.8648648648648649,0.35964912280701755,0.9736842105263158,IC50,'=',360.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1ncc(C#N)c(-c2cn(C)c3ccc(F)cc23)n1
CHEMBL5203821, ,0.9130434782608695,0.5208333333333334,0.9473684210526315,IC50,'=',360.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2cccnc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4472983, ,0.8648648648648649,0.46534653465346537,0.9736842105263158,IC50,'=',388.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL5174232, ,0.9130434782608695,0.5376344086021505,0.9473684210526315,IC50,'=',391.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2ccncc2)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL4438905, ,0.927536231884058,0.5591397849462365,0.9736842105263158,IC50,'=',397.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1
CHEMBL5185772, ,0.9,0.4174757281553398,0.9473684210526315,IC50,'=',420.0,nM,CHEMBL5137051,COc1cc(N(C)CCN(C)C)c(NC(=O)c2nccn2C)cc1Nc1nc(-c2cn(C)c3ccccc23)c2cccnc2n1
CHEMBL4553484, ,0.8767123287671232,0.37962962962962965,0.9736842105263158,IC50,'=',892.0,nM,CHEMBL4411272,COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccc(F)cc23)n1
CHEMBL4579805, ,0.8648648648648649,0.37272727272727274,0.9736842105263158,IC50,'=',923.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4583545, ,0.7444444444444445,0.3963963963963964,0.9736842105263158,IC50,'=',990.0,nM,CHEMBL4312015,C=C(Cl)C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CS(=O)(=O)CC3)c(OC)cc1N(C)CCN(C)C
CHEMBL4445761, ,0.8648648648648649,0.37962962962962965,0.9736842105263158,IC50,'=',998.0,nM,CHEMBL4411272,CC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4282543, ,0.9166666666666666,0.7831325301204819,0.8157894736842105,IC50,'=',0.4,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCN(C)CC1
CHEMBL4279227, ,0.927536231884058,0.5212765957446809,0.9736842105263158,IC50,'=',0.5,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3c[nH]c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4282954, ,0.9014084507042254,0.8717948717948718,0.9473684210526315,IC50,'=',0.6,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCOCC1
CHEMBL4287401, ,0.8378378378378378,0.7045454545454546,0.8157894736842105,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCOCC1
CHEMBL4294211, ,0.9014084507042254,0.8,0.9473684210526315,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCOCC2)CC1
CHEMBL4293145, ,0.7837837837837838,0.6931818181818182,0.8157894736842105,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1O[C@H]1CCOC1
CHEMBL4279016, ,1.0,0.8875,0.9473684210526315,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1
CHEMBL4293734, ,0.9565217391304348,0.8395061728395061,0.9473684210526315,IC50,'=',1.0,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)CC1
CHEMBL4278815, ,0.8888888888888888,0.5263157894736842,0.9473684210526315,IC50,'=',1.3,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4282523, ,0.8115942028985508,0.5604395604395604,0.9473684210526315,IC50,'=',1.5,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)ccc1N(C)CCN(C)C
CHEMBL4280993, ,0.8115942028985508,0.5888888888888889,0.9473684210526315,IC50,'=',2.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(C)cc1N(C)CCN(C)C
